InstitutionName,City,StateCode,ZIP,HIGHDEG,Control,ADM_RATE,ADM_RATE_ALL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,PPTUG_EF,PPTUG_EF2,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,UGDS_MEN,UGDS_WOMEN,OPENADMP,UGNONDS,GRADS,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,OTHEREXPENSE_FAM,ADMCON7
Alabama A & M University,Normal,AL,35762,4,1,0.716,0.716006098,475,460,NA,18,17,17,NA,954,954,5098,NA,0.0184,0.8978,0.0114,0.0014,0.0027,0.001,0.0108,0.0086,0.0479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1116,NA,21924,NA,10024,18634,NA,9243,0.406,0.594,2,9,862,1600,9520,3090,9520,3090,3440,5
University of Alabama at Birmingham,Birmingham,AL,35294-0110,4,1,0.8854,0.885351923,637,644,NA,27,28,25,NA,1266,1266,13284,NA,0.5297,0.2458,0.0669,0.0767,0.0021,0.0004,0.0483,0.0233,0.0068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2197,NA,26248,NA,8568,20400,NA,11678,0.379,0.621,2,263,8742,1200,12307,5555,12307,5555,5555,5
Amridge University,Montgomery,AL,36117-3553,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,0.247,0.6932,0.0438,0,0,0.004,0,0,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4582,NA,NA,NA,NA,NA,NA,14093,0.3147,0.6853,1,NA,472,NA,NA,NA,NA,NA,NA,NA
University of Alabama in Huntsville,Huntsville,AL,35899,4,1,0.7367,0.73672375,640,655,NA,28,28,26,NA,1300,1300,7358,NA,0.7196,0.0871,0.061,0.0357,0.008,0.0012,0.0446,0.0166,0.0261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1551,NA,24869,NA,11488,23884,NA,8246,0.5953,0.4047,2,211,2067,2300,10764,4156,10764,4156,4156,1
Alabama State University,Montgomery,AL,36104-0271,4,1,0.9799,0.979912956,488,457,NA,18,17,17,NA,955,955,3495,NA,0.0152,0.9259,0.0129,0.002,0.0017,0.0014,0.0132,0.0166,0.0112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1259,NA,21938,NA,11068,19396,NA,8535,0.3505,0.6495,2,4,465,1600,6050,3392,7320,5130,5130,5
The University of Alabama,Tuscaloosa,AL,35487-0100,4,1,0.789,0.789043163,610,610,NA,26,27,24,NA,1244,1244,30725,NA,0.7676,0.105,0.0549,0.0137,0.0037,0.0008,0.0356,0.0127,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0863,NA,31050,NA,11620,31090,NA,13731,0.4385,0.5615,2,960,6631,800,13934,4670,13934,4670,5742,5
Central Alabama Community College,Alexander City,AL,35010,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,NA,0.7245,0.1947,0.0287,0.0021,0.0021,0,0.034,0.0064,0.0074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4787,NA,13930,NA,4930,8620,NA,1731,0.3915,0.6085,1,638,NA,1000,NA,NA,10238,4360,4360,NA
Athens State University,Athens,AL,35611,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2511,NA,0.7634,0.1243,0.0426,0.0056,0.0131,0.0004,0.0307,0.0008,0.0191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5476,NA,NA,NA,NA,NA,NA,6761,0.2951,0.7049,NA,48,235,NA,NA,NA,NA,NA,NA,NA
Auburn University at Montgomery,Montgomery,AL,36117-3596,4,1,0.968,0.967988253,538,518,NA,21,20,19,NA,1069,1069,3742,NA,0.4129,0.4487,0.0131,0.0283,0.004,0.0011,0.0371,0.0484,0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2218,NA,20621,NA,8860,18820,NA,7879,0.3314,0.6686,2,344,982,1200,7368,3830,10296,3830,3830,1
Auburn University,Auburn,AL,36849,4,1,0.7118,0.711828813,NA,NA,NA,NA,NA,NA,NA,NA,NA,24782,NA,0.8181,0.0461,0.0382,0.0238,0.0027,0.0005,0.0281,0.0396,0.0028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0851,NA,32678,NA,11826,31986,NA,17273,0.5047,0.4953,2,149,6595,1200,14596,6028,14596,6028,6028,2
Birmingham-Southern College,Birmingham,AL,35254,3,2,0.6591,0.659081674,580,585,NA,25,26,23,NA,1214,1214,1048,NA,0.729,0.1603,0.0573,0.0258,0.0038,0,0.0095,0.0143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0086,NA,33920,NA,20100,20100,NA,10137,0.4895,0.5105,2,10,NA,1000,13600,2770,8000,4690,4690,5
Chattahoochee Valley Community College,Phenix City,AL,36869,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107,NA,0.3406,0.4833,0.0641,0.0063,0.0018,0.0027,0.0614,0.0036,0.0361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5754,NA,9320,NA,3936,7128,NA,1380,0.3406,0.6594,1,253,NA,800,NA,NA,5500,2000,2000,NA
South University-Montgomery,Montgomery,AL,36116,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,NA,0.2582,0.6884,0.0237,0.0059,0,0.003,0.003,0.003,0.0148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3561,NA,23107,NA,17014,17014,NA,9771,0.1543,0.8457,1,4,54,1500,NA,NA,7792,6782,4747,NA
