state_abbrev,cities,population,crime_rate_per_100k
PA,"Abington Township, Montgomery County",55731,7810.913136315516
OR,Albany,51084,12446.167097329888
LA,Alexandria,48449,37873.43392020475
CA,Aliso Viejo,48999,3815.383987428315
FL,Altamonte Springs,42296,16042.888216379799
PA,Altoona,46404,9901.086113266098
IA,Ames,59271,8721.803242732534
IN,Anderson,56132,19867.989738473596
IA,Ankeny,46482,6276.192934899531
FL,Apopka,43046,15780.328021186635
MN,Apple Valley,49827,9135.007124651293
CA,Arcadia,57295,8803.560520115194
MA,Arlington,43675,5934.745277618775
MA,Attleboro,44033,12419.094769831718
AL,Auburn,54785,13666.879620334035
CA,Azusa,47111,12831.82271656301
MA,Barnstable,45570,14947.333772218566
IL,Bartlett,41477,4045.6156424042233
TN,Bartlett,55510,5906.32318501171
OH,Beavercreek,45563,10578.320128174177
TX,Bedford,48763,12397.924655989169
CA,Bell Gardens,42769,9326.615071664055
NE,Bellevue,51678,8963.969193854251
IL,Berwyn,56933,9527.163507983068
MA,Beverly,40150,8845.82814445828
MA,Billerica,41016,6229.520187244002
MS,Biloxi,45037,24206.763327930363
NY,Binghamton,47250,23748.359788359787
VA,Blacksburg,43070,5541.676340840493
MN,Blaine,57953,11564.371128328126
MI,Bloomfield Township,41367,5539.923127130321
NJ,Bloomfield,47620,10716.085678286434
MO,Blue Springs,52848,13570.239176506208
OH,Boardman,40608,21115.789992119782
UT,Bountiful,43888,10144.230769230771
MD,Bowie,55765,6334.797812247825
KY,Bowling Green,59043,18438.934335992413
FL,Bradenton,50878,18288.258186249463
CA,Brea,40253,16860.85509154597
CA,Brentwood,52811,9207.930166063888
NJ,Bridgewater Township,44884,6631.539078513503
PA,Bristol Township,54796,12229.17731221257
MA,Brookline,59658,4973.51570619196
CO,Broomfield,58145,7352.996818299081
AZ,Buckeye,52213,10461.379349970313
IL,Buffalo Grove,41687,4339.0025667474265
AZ,Bullhead City,40277,21106.83516647218
NC,Burlington,51430,24181.217188411436
ID,Caldwell,47223,11407.788577599898
CA,Campbell,40339,21373.60866655098
IL,Carol Stream,40008,6447.710457908418
AZ,Casa Grande,50132,24415.343493178014
WY,Casper,56801,12732.69836798648
CO,Castle Rock,50038,5679.483592469723
CA,Cathedral City,52867,12737.624605141204
TX,Cedar Hill,46633,16113.05298822722
TX,Cedar Park,52051,6451.749245931875
CA,Ceres,46167,19921.155803929214
CA,Cerritos,49856,16011.914313222082
NC,Chapel Hill,58586,9206.636397774213
VA,Charlottesville,43991,17569.048214407492
MI,Chesterfield Township,43474,10687.76740120532
MO,Chesterfield,47560,6879.10008410429
MA,Chicopee,55825,12431.168831168834
OH,Cleveland Heights,45761,17344.245099538908
TN,Cleveland,42068,29338.214319672916
CA,Coachella,42034,20510.776990055667
FL,Coconut Creek,54651,11577.830231834732
ID,Coeur d'Alene,45267,21843.506307022777
OH,Colerain Township,58345,9241.580255377496
TN,Collierville,44690,9653.390020138733
CA,Colton,53431,14683.423480750876
IN,Columbus,44817,22832.184215810965
CO,Commerce City,47590,14040.974994746799
NH,Concord,42815,14881.933901669974
TX,Conroe,59856,12738.739641807004
TX,Coppell,40053,8602.351883754027
FL,Coral Gables,48435,20085.475379374424
OR,Corvallis,55062,9796.0480912426
CA,Covina,48588,15266.115090145713
IL,Crystal Lake,40785,10412.161333823708
CA,Cupertino,59769,4786.762368451873
FL,Cutler Bay,41799,22665.614009904544
OH,Cuyahoga Falls,49470,10942.793612290277
CA,Cypress,48976,8954.99836654688
CA,Danville,43121,4926.138076575218
VA,Danville,43324,22152.61748684332
IL,De Kalb,43722,15693.701111568547
MI,Dearborn Heights,57228,8873.104074928357
AL,Decatur,56126,20018.35156611909
CA,Delano,54318,11597.99698074303
IL,Des Plaines,58644,5850.04433531137
TX,Desoto,50795,14836.69652524855
CA,Diamond Bar,56470,6315.919957499558
FL,Doral,47427,21757.43774643136
IL,Downers Grove,48185,8812.285981114452
UT,Draper,43600,9563.761467889908
CA,Dublin,47004,7377.457237681899
OH,Dublin,42343,6235.741444866921
IA,Dubuque,58460,4277.96784125898
GA,Dunwoody,47308,17622.389447873506
NJ,East Brunswick Township,48009,7670.853381657606
CT,East Hartford,51431,13345.453131379905
MI,East Lansing,48701,9351.758690786637
RI,East Providence,46994,8195.939907222199
CA,Eastvale,55439,6819.747830949333
MN,Edina,48932,7329.559388539197
WA,Edmonds,40609,12868.329680612675
NJ,Egg Harbor Township,43501,10072.412128456817
CA,El Centro,43643,27752.445982173547
IL,Elmhurst,44460,6616.959064327485
CT,Enfield,44806,8468.062313083068
OK,Enid,49755,17305.195457742942
TX,Euless,53228,11880.589163598108
MA,Everett,42476,12814.295131368302
NJ,Evesham Township,45849,6792.950773190254
OH,Fairfield,42727,16257.635687036302
NM,Farmington,45328,22845.92304977056
MA,Fitchburg,40809,16873.483790340364
MO,Florissant,52243,9152.230920888922
WI,Fond du Lac,43319,14846.37226159422
FL,Fort Pierce,42566,30874.17187426585
CA,Fountain Valley,56674,9807.142605074638
NY,Freeport Village,43248,11591.05623381428
TX,Galveston,49170,22873.296725645716
CA,Gardena,59802,8992.508611752115
TX,Georgetown,50304,7792.819656488552
CA,Gilroy,50042,15549.938052036292
CA,Glendora,50903,10435.33779934385
IL,Glenview,44909,5136.832260794051
ND,Grand Forks,53839,10729.396905588885
NE,Grand Island,49583,20069.58029969949
CO,Grand Junction,59516,16854.12326097184
TX,Grapevine,48095,12182.555359184946
MT,Great Falls,59360,16681.772237196765
NY,Greenburgh Town,43409,6782.23409891958
IN,Greenwood,51746,14938.352722915783
NJ,Hackensack,43499,9491.712453159844
MD,Hagerstown,40275,20380.881440099314
TX,Haltom City,44024,16098.037434126842
NY,Hamburg Town,45166,12951.335075056459
CA,Hanford,54787,13459.5798273313
PA,Harrisburg,49753,25475.24772375535
VA,Harrisonburg,50524,9221.558071411604
MS,Hattiesburg,46726,25520.69511620939
PA,Haverford Township,48599,5106.277906952818
NY,Hempstead Village,54380,9847.370356748805
TN,Hendersonville,52781,7666.963490650043
NC,Hickory,40361,35665.8655632913
CA,Highland,54403,12920.427182324504
NJ,Hoboken,50794,8876.048352167578
IL,Hoffman Estates,52148,5707.409680141138
MA,Holyoke,40260,35672.13114754099
NJ,Howell Township,51379,5144.31966367582
NC,Huntersville,48524,9649.245734069738
CA,Huntington Park,59079,13121.921494947444
KS,Hutchinson,42357,31001.723445947544
ID,Idaho Falls,58037,10949.394351878973
NY,Irondequoit Town,52045,12640.791622634259
NJ,Irvington,54274,18162.471901831446
NJ,Jackson Township,55400,4942.599277978339
MO,Jefferson City,43413,19599.65908829153
IN,Jeffersonville,45640,22870.727432077125
MO,Joplin,50654,32161.132388360253
FL,Jupiter,56674,8163.355330486644
NJ,Kearny,41310,11567.417090292907
TX,Keller,41137,4763.108636993461
OH,Kettering,56423,8424.401396593586
TN,Kingsport,49639,26923.18539857773
WA,Kirkland,50243,13833.369822661865
IN,Kokomo,45636,19533.482338504688
WI,La Crosse,51851,15681.471909895661
CA,La Mesa,58444,11453.01485182397
CA,La Mirada,49312,7188.513951979235
CA,La Puente,40479,7835.914918846809
WA,Lacey,43540,16257.464400551216
CA,Lake Elsinore,53912,14188.677845377653
AZ,Lake Havasu City,53513,9875.544260273204
MN,Lakeville,56805,4716.838306487105
OH,Lakewood,51721,8141.760600143075
WA,Lakewood,59416,19024.16857412145
VA,Leesburg,44889,10382.053509768539
UT,Lehi,49375,5504.810126582278
KS,Lenexa,49222,8271.301450570883
MA,Leominster,41262,18642.819058698075
CA,Lincoln,44378,5280.769750777412
NJ,Linden,40926,13158.383423740408
CO,Littleton,43229,13956.140553794907
UT,Logan,49672,8746.174907392495
IL,Lombard,43482,12651.671956211765
CA,Lompoc,43120,14930.194805194804
PA,Lower Merion Township,58252,6371.111721485957
PA,Lower Paxton Township,47578,10231.19929379125
AL,Madison,43860,12039.21568627451
NJ,Manchester Township,43491,5043.802165965372
CT,Manchester,58444,11171.719937033742
OH,Mansfield,47480,30013.05812973884
TX,Mansfield,58490,5787.656009574286
FL,Margate,55010,8307.944010179966
AZ,Maricopa,44881,8955.682805641585
GA,Marietta,57969,17985.820007245253
