InstitutionName,HD2022.Institution size category,HistoricallyBlack,StudentFacultyRatio
A Better U Beauty Barber Academy,"Under 1,000",No,11
A T Still University of Health Sciences,"1,000 - 4,999",No,
Aaniiih Nakoda College,"Under 1,000",No,10
ABC Adult School,"Under 1,000",No,5
ABC Beauty Academy,"Under 1,000",No,12
ABCO Technology,"Under 1,000",No,9
Abcott Institute,"Under 1,000",No,10
Abilene Christian University,"5,000 - 9,999",No,13
Abilene Christian University-Undergraduate Online,"Under 1,000",No,27
Abraham Baldwin Agricultural College,"1,000 - 4,999",No,19
Abraham Lincoln University,"Under 1,000",No,5
Academia Medical Institute,"Under 1,000",No,32
Academia Serrant Inc,"Under 1,000",No,20
Academy College,"Under 1,000",No,8
Academy Di Capelli-School of Cosmetology,"Under 1,000",No,9
Academy di Firenze,"Under 1,000",No,5
Academy for Careers and Technology,"Under 1,000",No,10
Academy for Five Element Acupuncture,"Under 1,000",No,
Academy for Jewish Religion,"Under 1,000",No,
Academy for Jewish Religion California,"Under 1,000",No,
Academy for Nursing and Health Occupations,"Under 1,000",No,27
Academy for Salon Professionals,"Under 1,000",No,13
Academy of Allied Health Careers,"Under 1,000",No,20
Academy of Art University,"5,000 - 9,999",No,15
Academy of Beauty Professionals,"Under 1,000",No,20
Academy of Beauty Professionals,"Under 1,000",No,12
Academy of Beauty Professionals,"Under 1,000",No,10
Academy of Beauty Professionals,"Under 1,000",No,13
Academy of Career Training,"Under 1,000",No,13
Academy of Careers and Technology,"Under 1,000",No,11
Academy of Chinese Culture and Health Sciences,"Under 1,000",No,
Academy of Cosmetology,"Under 1,000",No,8
Academy of Cosmetology Inc,"Under 1,000",No,19
Academy of Esthetics and Cosmetology,"Under 1,000",No,25
Academy of Hair Design-Grenada,"Under 1,000",No,15
Academy of Hair Design-Jackson,"Under 1,000",No,15
Academy of Hair Design-Jasper,"Under 1,000",No,12
Academy of Hair Design-Las Vegas,"Under 1,000",No,15
Academy of Hair Design-Lufkin,"Under 1,000",No,10
Academy of Hair Design-Pearl,"Under 1,000",No,15
Academy of Hair Design-Springfield,"Under 1,000",No,12
Academy of Hair Technology,"Under 1,000",No,11
Academy of Interactive Entertainment,"Under 1,000",No,25
Academy of Interactive Entertainment,"Under 1,000",No,20
Academy of Massage and Bodywork,"Under 1,000",No,10
Academy of Natural Therapy Inc,"Under 1,000",No,7
Academy of Professional Cosmetology,"Under 1,000",No,25
Academy of Salon and Spa,"Under 1,000",No,22
Academy of Salon Professionals,"Under 1,000",No,9
Academy of Vocal Arts,"Under 1,000",No,
Acaydia School of Aesthetics,"Under 1,000",No,10
Access Careers,"Under 1,000",No,20
Access Careers-Islandia,"Under 1,000",No,13
Ace Institute of Technology,"Under 1,000",No,11
Acupuncture and Integrative Medicine College-Berkeley,"Under 1,000",No,
Acupuncture and Massage College,"Under 1,000",No,24
Adams State University,"1,000 - 4,999",No,13
Adelphi University,"5,000 - 9,999",No,12
Adler Graduate School,"Under 1,000",No,
Adler University,"1,000 - 4,999",No,1
Adrian College,"1,000 - 4,999",No,16
Adrian H. Wallace Barber Academy,"Under 1,000",No,15
Adrian's Beauty College of Turlock,"Under 1,000",No,14
Adult and Community Education-Hudson,"Under 1,000",No,9
Adult and Continuing Education-BCTS,"Under 1,000",No,19
Advance Beauty College,"Under 1,000",No,30
Advance Beauty Techs Academy,"Under 1,000",No,20
Advance Science International College,"Under 1,000",No,15
Advanced Barber College and Hair Design,"Under 1,000",No,20
Advanced Career Institute,"Under 1,000",No,14
Advanced College of Cosmetology,"Under 1,000",No,5
Advanced Technology Institute,"Under 1,000",No,13
Advanced Training Institute,"Under 1,000",No,9
Advanced Welding Institute,"Under 1,000",No,16
Advantage Career Institute,"Under 1,000",No,19
Advantage Technical College,"Under 1,000",No,39
Advantage Technical College,"Under 1,000",No,45
Advantage Technical College-Aguadilla,"Under 1,000",No,48
AdventHealth University,"1,000 - 4,999",No,5
Aesthetic Science Institute,"Under 1,000",No,16
Aesthetics Institute,"Under 1,000",No,25
Agape College of Business and Science,"Under 1,000",No,7
Agnes Scott College,"1,000 - 4,999",No,11
AI Miami International University of Art and Design,"Under 1,000",No,11
Aiken School of Cosmetology and Barbering,"Under 1,000",No,
Aiken Technical College,"1,000 - 4,999",No,14
Aims Community College,"5,000 - 9,999",No,17
Air Force Institute of Technology-Graduate School of Engineering & Management,"1,000 - 4,999",No,
Alabama A & M University,"5,000 - 9,999",Yes,19
Alabama College of Osteopathic Medicine,"Under 1,000",No,
