InstitutionName,StateCode,Control,SizeBin,SelectivityBin,StudentFacultyRatioBin,TestOptional,SATVRMID,SATMTMID,ACTMTMID,ACTENMID,TuitionBin,LivingCostBin,CrimeRateBin,DiversityIndexBin,PopulationBin
Alabama A & M University,AL,1,3,4,,1,475.0,460.0,17.0,17.0,3,,,1,
University of Alabama at Birmingham,AL,1,5,2,1,1,637.0,644.0,25.0,28.0,4,2,1,4,5
Amridge University,AL,2,1,,1,1,,,,,,1,1,2,5
University of Alabama in Huntsville,AL,1,3,3,1,1,640.0,655.0,26.0,28.0,4,2,2,2,5
Alabama State University,AL,1,2,1,1,1,488.0,457.0,17.0,17.0,4,1,1,1,5
The University of Alabama,AL,1,5,3,1,1,610.0,610.0,24.0,27.0,4,2,3,2,3
Central Alabama Community College,AL,1,2,,,0,,,,,,,,2,
Athens State University,AL,1,2,,,0,,,,,,,,2,
Auburn University at Montgomery,AL,1,3,1,1,0,538.0,518.0,19.0,20.0,3,1,1,3,5
Auburn University,AL,1,5,4,2,1,,,,,4,2,5,1,1
Birmingham-Southern College,AL,2,1,4,1,0,580.0,585.0,23.0,26.0,4,2,1,2,5
Chattahoochee Valley Community College,AL,1,2,,,0,,,,,,,,4,
South University-Montgomery,AL,3,1,,1,1,,,,,,1,1,2,5
Enterprise State Community College,AL,1,2,,,0,,,,,,,,3,
Coastal Alabama Community College,AL,1,3,,,0,,,,,,,,2,
Faulkner University,AL,2,2,4,1,0,550.0,548.0,19.0,20.0,4,1,1,3,5
Gadsden State Community College,AL,1,2,,1,0,,,,,,1,,2,
George C Wallace Community College-Dothan,AL,1,2,,1,0,,,,,,1,3,3,2
George C Wallace State Community College-Hanceville,AL,1,3,,,0,,,,,,,,1,
George C Wallace State Community College-Selma,AL,1,2,,,0,,,,,,,,1,
Herzing University-Birmingham,AL,2,1,1,1,1,,,,,3,2,1,2,5
Huntingdon College,AL,2,1,4,1,1,535.0,490.0,21.0,23.0,4,1,1,2,5
Heritage Christian University,AL,2,1,,1,1,,,,,,1,,1,
J. F. Drake State Community and Technical College,AL,1,1,,1,0,,,,,,2,2,2,5
Jacksonville State University,AL,1,3,3,,1,535.0,590.0,18.0,19.0,4,,,3,
Jefferson State Community College,AL,1,3,,1,0,,,,,,2,1,3,5
John C Calhoun State Community College,AL,1,3,,,0,,,,,,,,3,
Lawson State Community College,AL,1,2,,1,0,,,,,,2,1,1,5
University of West Alabama,AL,1,3,3,,0,450.0,480.0,18.0,19.0,4,,,4,
Lurleen B Wallace Community College,AL,1,2,,,0,,,,,,,,2,
Marion Military Institute,AL,1,1,5,,0,605.0,595.0,22.0,22.0,3,,,3,
Miles College,AL,2,2,,,1,,,,,,,,1,
University of Mobile,AL,2,2,4,1,1,,,,,4,1,,3,
University of Montevallo,AL,1,2,2,,1,545.0,540.0,21.0,24.0,4,,,2,
University of North Alabama,AL,1,3,2,1,1,,,,,4,1,,2,
Northeast Alabama Community College,AL,1,2,,,0,,,,,,,,2,
Oakwood University,AL,2,2,4,1,1,,,,,4,2,2,1,5
Reid State Technical College,AL,1,1,,,0,,,,,,,,2,
Bishop State Community College,AL,1,2,,1,0,,,,,,1,,2,
Samford University,AL,2,3,2,1,1,615.0,580.0,24.0,27.0,5,2,1,1,5
Shelton State Community College,AL,1,2,,1,0,,,,,,2,3,3,3
Snead State Community College,AL,1,2,,,0,,,,,,,,2,
University of South Alabama,AL,1,4,4,1,1,555.0,545.0,21.0,23.0,3,1,,3,
Spring Hill College,AL,2,2,4,1,1,510.0,505.0,17.0,18.0,4,1,,3,
Stillman College,AL,2,1,3,1,1,,,,,2,2,3,1,3
Talladega College,AL,2,1,,1,1,,,,,,1,,1,
H Councill Trenholm State Community College,AL,1,2,,1,0,,,,,,1,1,2,5
Troy University,AL,1,4,1,,1,533.0,510.0,20.0,21.0,3,,,3,
Tuskegee University,AL,2,2,5,,1,525.0,500.0,20.0,21.0,4,,,1,
United States Sports Academy,AL,2,1,1,2,1,,,,,3,3,,4,
Bevill State Community College,AL,1,2,,,0,,,,,,,,2,
University of Alaska Anchorage,AK,1,4,4,3,1,,,,,4,5,,4,
Alaska Bible College,AK,2,1,,,0,,,,,,,,1,
University of Alaska Fairbanks,AK,1,3,4,3,1,620.0,615.0,21.0,21.0,4,4,,4,
University of Alaska Southeast,AK,1,2,5,,1,,,,,4,,,4,
Alaska Pacific University,AK,2,1,1,3,1,,,,,4,5,,5,
Charter College,WA,3,2,,,1,,,,,,,2,5,4
Alaska Career College,AK,3,1,,3,0,,,,,,5,,5,
Carrington College-Phoenix North,AZ,3,2,,3,0,,,,,,4,,4,
Carrington College-Mesa,AZ,3,1,,,0,,,,,,,,4,
Carrington College-Tucson,AZ,3,1,,2,0,,,,,,3,,3,
Brookline College-Phoenix,AZ,3,1,,3,1,,,,,,4,,5,
Arizona State University Campus Immersion,AZ,1,5,2,,1,,,,,4,,2,4,4
Arizona Western College,AZ,1,3,,2,0,,,,,,3,4,2,3
University of Arizona,AZ,1,5,2,2,1,620.0,625.0,24.0,25.0,5,3,,4,
Central Arizona College,AZ,1,2,,,0,,,,,,,,4,
Cochise County Community College District,AZ,1,2,,2,0,,,,,,2,5,3,1
Eastern Arizona College,AZ,1,2,,,0,,,,,,,,3,
Embry-Riddle Aeronautical University-Prescott,AZ,2,2,3,3,1,615.0,630.0,26.0,26.0,5,4,5,3,1
The School of Architecture,AZ,2,1,,,0,,,,,,,,5,
