InstitutionName,StateCode,Control,SizeBin,SelectivityBin,StudentFacultyRatioBin,TestOptional,SATVRMID,SATMTMID,ACTMTMID,ACTENMID,TuitionBin,LivingCostBin,CrimeRateBin,DiversityIndexBin,PopulationBin
Alabama A & M University,AL,1,3,4,1,1,475,460,17,17,3,1,2,1,4
University of Alabama at Birmingham,AL,1,5,2,1,1,637,644,25,28,4,2,1,4,5
Amridge University,AL,2,1,3,1,1,532,528,21,23,5,1,1,2,5
University of Alabama in Huntsville,AL,1,3,3,1,1,640,655,26,28,4,2,2,2,5
Alabama State University,AL,1,2,1,1,1,488,457,17,17,4,1,1,1,5
The University of Alabama,AL,1,5,3,1,1,610,610,24,27,4,2,3,2,3
Central Alabama Community College,AL,1,2,3,2,0,555,541,21,22,3,3,3,2,3
Athens State University,AL,1,2,3,2,0,555,541,21,22,3,3,3,2,3
Auburn University at Montgomery,AL,1,3,1,1,0,538,518,19,20,3,1,1,3,5
Auburn University,AL,1,5,4,2,1,604,601,26,26,4,2,5,1,1
Birmingham-Southern College,AL,2,1,4,1,0,580,585,23,26,4,2,1,2,5
Chattahoochee Valley Community College,AL,1,2,3,2,0,560,550,22,22,3,3,3,4,3
South University-Montgomery,AL,3,1,3,1,1,542,539,22,24,5,1,1,2,5
Enterprise State Community College,AL,1,2,3,2,0,558,545,22,22,3,3,3,3,3
Coastal Alabama Community College,AL,1,3,3,2,0,563,552,22,23,3,3,3,2,3
Faulkner University,AL,2,2,4,1,0,550,548,19,20,4,1,1,3,5
Gadsden State Community College,AL,1,2,3,1,0,535,533,21,21,3,1,4,2,2
George C Wallace Community College-Dothan,AL,1,2,3,1,0,523,522,22,22,4,1,3,3,2
George C Wallace State Community College-Hanceville,AL,1,3,3,2,0,561,547,22,23,3,2,3,1,3
George C Wallace State Community College-Selma,AL,1,2,3,2,0,553,536,21,22,2,2,3,1,3
Herzing University-Birmingham,AL,2,1,1,1,1,514,502,19,20,3,2,1,2,5
Huntingdon College,AL,2,1,4,1,1,535,490,21,23,4,1,1,2,5
Heritage Christian University,AL,2,1,3,1,1,548,541,22,22,4,1,4,1,3
J. F. Drake State Community and Technical College,AL,1,1,3,1,0,534,527,19,20,2,2,2,2,5
Jacksonville State University,AL,1,3,3,1,1,535,590,18,19,4,1,2,3,6
Jefferson State Community College,AL,1,3,3,1,0,541,541,21,22,3,2,1,3,5
John C Calhoun State Community College,AL,1,3,3,2,0,565,556,22,23,3,3,3,3,3
Lawson State Community College,AL,1,2,3,1,0,531,520,20,21,2,2,1,1,5
University of West Alabama,AL,1,3,3,1,0,450,480,18,19,4,1,1,4,4
Lurleen B Wallace Community College,AL,1,2,3,2,0,555,541,21,22,3,3,3,2,3
Marion Military Institute,AL,1,1,5,2,0,605,595,22,22,3,3,4,3,3
Miles College,AL,2,2,3,2,1,574,560,23,24,4,3,3,1,3
University of Mobile,AL,2,2,4,1,1,559,564,23,23,4,1,4,3,3
University of Montevallo,AL,1,2,2,2,1,545,540,21,24,4,2,2,2,4
University of North Alabama,AL,1,3,2,1,1,551,553,22,22,4,1,4,2,3
Northeast Alabama Community College,AL,1,2,3,2,0,555,541,21,22,3,3,3,2,3
Oakwood University,AL,2,2,4,1,1,587,586,22,23,4,2,2,1,5
Reid State Technical College,AL,1,1,3,2,0,548,530,21,21,2,3,3,2,3
Bishop State Community College,AL,1,2,3,1,0,535,533,21,21,3,1,4,2,2
Samford University,AL,2,3,2,1,1,615,580,24,27,5,2,1,1,5
Shelton State Community College,AL,1,2,3,1,0,542,539,21,21,2,2,3,3,3
Snead State Community College,AL,1,2,3,2,0,555,541,21,22,3,3,3,2,3
University of South Alabama,AL,1,4,4,1,1,555,545,21,23,3,1,3,3,4
Spring Hill College,AL,2,2,4,1,1,510,505,17,18,4,1,3,3,5
Stillman College,AL,2,1,3,1,1,533,519,21,21,2,2,3,1,3
Talladega College,AL,2,1,3,1,1,548,541,22,22,4,1,4,1,3
H Councill Trenholm State Community College,AL,1,2,3,1,0,520,516,20,22,4,1,1,2,5
Troy University,AL,1,4,1,2,1,533,510,20,21,3,3,2,3,3
Tuskegee University,AL,2,2,5,1,1,525,500,20,21,4,2,2,1,4
United States Sports Academy,AL,2,1,1,2,1,548,534,21,21,3,3,4,4,3
Bevill State Community College,AL,1,2,3,2,0,555,541,21,22,3,3,3,2,3
University of Alaska Anchorage,AK,1,4,4,3,1,617,605,25,26,4,5,2,4,4
Alaska Bible College,AK,2,1,3,2,0,556,535,22,22,3,3,3,1,3
University of Alaska Fairbanks,AK,1,3,4,3,1,620,615,21,21,4,4,5,4,4
University of Alaska Southeast,AK,1,2,5,2,1,582,580,23,24,4,3,3,4,3
Alaska Pacific University,AK,2,1,1,3,1,579,558,22,23,4,5,3,5,3
Charter College,WA,3,2,3,2,1,592,586,24,26,5,4,2,5,4
Alaska Career College,AK,3,1,3,3,0,593,570,23,25,3,5,2,5,4
Carrington College-Phoenix North,AZ,3,2,3,3,0,596,577,24,26,4,4,3,4,3
Carrington College-Mesa,AZ,3,1,3,2,0,572,558,23,24,4,3,3,4,3
Carrington College-Tucson,AZ,3,1,3,2,0,570,554,22,24,3,3,3,3,3
Brookline College-Phoenix,AZ,3,1,3,3,1,599,583,24,26,5,4,3,5,3
Arizona State University Campus Immersion,AZ,1,5,2,2,1,585,585,23,25,4,3,2,4,4
Arizona Western College,AZ,1,3,3,2,0,580,568,22,22,2,3,4,2,3
University of Arizona,AZ,1,5,2,2,1,620,625,24,25,5,3,3,4,4
Central Arizona College,AZ,1,2,3,2,0,560,550,22,22,3,3,3,4,3
